Running loss: 0.8547614812850952, z loss: 0.4265676736831665, y loss: 0.4281937777996063
Running loss: 0.8352353572845459, z loss: 0.41545724868774414, y loss: 0.41977810859680176
Running loss: 0.8183130025863647, z loss: 0.40908023715019226, y loss: 0.4092327356338501
Running loss: 0.8248270750045776, z loss: 0.40865570306777954, y loss: 0.4161713421344757
Running loss: 0.8142678737640381, z loss: 0.40471765398979187, y loss: 0.4095502495765686
Running loss: 0.8092854022979736, z loss: 0.4010307490825653, y loss: 0.4082546830177307
Running loss: 0.7998909950256348, z loss: 0.39150336384773254, y loss: 0.4083876609802246
Running loss: 0.7955366373062134, z loss: 0.37855687737464905, y loss: 0.41697975993156433
Running loss: 0.775654137134552, z loss: 0.365466445684433, y loss: 0.410187691450119
Running loss: 0.7846269011497498, z loss: 0.3810674548149109, y loss: 0.40355947613716125
Running loss: 0.7733946442604065, z loss: 0.38048768043518066, y loss: 0.3929069936275482
Running loss: 0.8006407022476196, z loss: 0.4051683247089386, y loss: 0.3954724073410034
Running loss: 0.7952070236206055, z loss: 0.40139240026474, y loss: 0.3938146233558655
Running loss: 0.7817599177360535, z loss: 0.3953070044517517, y loss: 0.38645291328430176
Running loss: 0.7828056812286377, z loss: 0.4013841152191162, y loss: 0.38142159581184387
Running loss: 0.7676340341567993, z loss: 0.39749714732170105, y loss: 0.37013688683509827
Running loss: 0.7641206979751587, z loss: 0.38988393545150757, y loss: 0.3742368221282959
Running loss: 0.7381011247634888, z loss: 0.3824062645435333, y loss: 0.35569489002227783
Running loss: 0.7291684746742249, z loss: 0.37398090958595276, y loss: 0.3551875352859497
Running loss: 0.7154349088668823, z loss: 0.3603670299053192, y loss: 0.3550678789615631
Running loss: 0.7004787921905518, z loss: 0.35129299759864807, y loss: 0.34918585419654846
Running loss: 0.6933025121688843, z loss: 0.34556522965431213, y loss: 0.3477373719215393
Running loss: 0.684506893157959, z loss: 0.342544287443161, y loss: 0.34196269512176514
Running loss: 0.6795968413352966, z loss: 0.3419038653373718, y loss: 0.3376930356025696
Running loss: 0.6888260841369629, z loss: 0.3510262370109558, y loss: 0.33779993653297424
Running loss: 0.6794281601905823, z loss: 0.3433760106563568, y loss: 0.3360522389411926
Running loss: 0.6567234992980957, z loss: 0.3300391137599945, y loss: 0.32668453454971313
Running loss: 0.6546874046325684, z loss: 0.329948365688324, y loss: 0.32473912835121155
Running loss: 0.6383179426193237, z loss: 0.3211625814437866, y loss: 0.3171554505825043
Running loss: 0.6247277855873108, z loss: 0.31295716762542725, y loss: 0.3117706775665283
Running loss: 0.621941864490509, z loss: 0.3105147182941437, y loss: 0.31142720580101013
Running loss: 0.6127424240112305, z loss: 0.3072931170463562, y loss: 0.30544933676719666
Running loss: 0.6337932348251343, z loss: 0.32041728496551514, y loss: 0.31337597966194153
Running loss: 0.6277254819869995, z loss: 0.3192431926727295, y loss: 0.3084823489189148
Running loss: 0.6173873543739319, z loss: 0.31836220622062683, y loss: 0.29902520775794983
Running loss: 0.6012692451477051, z loss: 0.3096708357334137, y loss: 0.29159843921661377
Running loss: 0.5932664275169373, z loss: 0.30710262060165405, y loss: 0.286163866519928
Running loss: 0.5816289186477661, z loss: 0.29654744267463684, y loss: 0.28508150577545166
Running loss: 0.5765091180801392, z loss: 0.28960707783699036, y loss: 0.2869020700454712
Running loss: 0.5885879397392273, z loss: 0.2962251305580139, y loss: 0.29236286878585815
Running loss: 0.5786819458007812, z loss: 0.29252299666404724, y loss: 0.2861590087413788
Running loss: 0.5753700733184814, z loss: 0.29346731305122375, y loss: 0.2819027900695801
Running loss: 0.572396457195282, z loss: 0.28602856397628784, y loss: 0.28636792302131653
Running loss: 0.5624372363090515, z loss: 0.2789575755596161, y loss: 0.2834796607494354
Running loss: 0.5638958811759949, z loss: 0.2795494794845581, y loss: 0.2843463718891144
Running loss: 0.5576795935630798, z loss: 0.2724212110042572, y loss: 0.28525838255882263
Running loss: 0.5555003881454468, z loss: 0.2724778354167938, y loss: 0.28302252292633057
Running loss: 0.5488325357437134, z loss: 0.2703288197517395, y loss: 0.2785036861896515
Running loss: 0.5429202318191528, z loss: 0.26476970314979553, y loss: 0.2781505286693573
Running loss: 0.5446338057518005, z loss: 0.2611130177974701, y loss: 0.28352078795433044
Running loss: 0.5390616059303284, z loss: 0.25830551981925964, y loss: 0.2807560861110687
Running loss: 0.5218391418457031, z loss: 0.25163185596466064, y loss: 0.2702072560787201
Running loss: 0.5161048769950867, z loss: 0.25100991129875183, y loss: 0.26509493589401245
Running loss: 0.5365622043609619, z loss: 0.2608787715435028, y loss: 0.2756834626197815
Running loss: 0.5276458859443665, z loss: 0.25703108310699463, y loss: 0.2706148326396942
Running loss: 0.5234705209732056, z loss: 0.2537083029747009, y loss: 0.26976221799850464
Running loss: 0.5155431032180786, z loss: 0.25092580914497375, y loss: 0.26461726427078247
Running loss: 0.5018194913864136, z loss: 0.2463964968919754, y loss: 0.2554229497909546
Running loss: 0.5059186220169067, z loss: 0.2498418092727661, y loss: 0.25607678294181824
Running loss: 0.50825434923172, z loss: 0.2504788935184479, y loss: 0.2577754259109497
Running loss: 0.49819448590278625, z loss: 0.24502313137054443, y loss: 0.25317132472991943
Running loss: 0.4892035722732544, z loss: 0.2404337227344513, y loss: 0.2487698346376419
Running loss: 0.5062276124954224, z loss: 0.2496422529220581, y loss: 0.25658532977104187
Running loss: 0.5100944638252258, z loss: 0.2465853989124298, y loss: 0.26350900530815125
Running loss: 0.5184484124183655, z loss: 0.24552761018276215, y loss: 0.27292072772979736
Running loss: 0.5130165815353394, z loss: 0.24667038023471832, y loss: 0.26634615659713745
Running loss: 0.5154141187667847, z loss: 0.248326376080513, y loss: 0.2670877277851105
Running loss: 0.5334233045578003, z loss: 0.25922009348869324, y loss: 0.27420318126678467
Running loss: 0.533767580986023, z loss: 0.2513101398944855, y loss: 0.2824574112892151
Running loss: 0.5533989071846008, z loss: 0.26064804196357727, y loss: 0.29275083541870117
Running loss: 0.5538931488990784, z loss: 0.2570399045944214, y loss: 0.2968531847000122
Running loss: 0.5639945864677429, z loss: 0.25540921092033386, y loss: 0.3085853159427643
Running loss: 0.5625095963478088, z loss: 0.2592221796512604, y loss: 0.3032873272895813
Running loss: 0.5469253659248352, z loss: 0.2556319534778595, y loss: 0.29129332304000854
Running loss: 0.5432135462760925, z loss: 0.259833425283432, y loss: 0.28338006138801575
Running loss: 0.5485468506813049, z loss: 0.2671852707862854, y loss: 0.28136152029037476
Running loss: 0.5498842597007751, z loss: 0.2653582990169525, y loss: 0.28452590107917786
Running loss: 0.543979287147522, z loss: 0.2659739553928375, y loss: 0.2780052721500397
Running loss: 0.5373477935791016, z loss: 0.2692246735095978, y loss: 0.2681231200695038
